package	hardware	backend	variant	dataset	n_voxels	n_timepoints	kind	n_iter	seed	wall_seconds	internal_fit_seconds	job_id	hostname	timestamp
braincoder	cpu16	tensorflow	grid	vanes2019	118584	120	real	default	3	618	597.04	3122947	u24-chaihm0-651	2026-05-18T14:26:53+02:00
braincoder	cpu32	tensorflow	grid	vanes2019	118584	120	real	default	1	387	370.1	3193561	u24-chaihm0-633	2026-05-19T11:00:20+02:00
braincoder	cpu32	tensorflow	grid	vanes2019	118584	120	real	default	1	532	519.92	3122951	u24-chiihm0-622	2026-05-18T14:25:56+02:00
braincoder	cpu32	tensorflow	grid	vanes2019	118584	120	real	default	2	188	180.48	3193562	u24-chaihm0-651	2026-05-19T10:57:00+02:00
braincoder	cpu32	tensorflow	grid	vanes2019	118584	120	real	default	2	590	580.04	3122952	u24-chiihm0-622	2026-05-18T14:26:54+02:00
braincoder	cpu32	tensorflow	grid	vanes2019	118584	120	real	default	3	205	197.48	3193563	u24-chaihm0-651	2026-05-19T10:57:17+02:00
braincoder	cpu32	tensorflow	grid	vanes2019	118584	120	real	default	3	623	615.42	3122953	u24-chaihm0-636	2026-05-18T14:28:58+02:00
braincoder	cpu8	tensorflow	grid	vanes2019	118584	120	real	default	1	455	441.12	3122939	u24-cva0000-303	2026-05-18T14:24:09+02:00
braincoder	cpu8	tensorflow	grid	vanes2019	118584	120	real	default	2	360	334.99	3122940	u24-cva0000-311	2026-05-18T14:22:36+02:00
braincoder	cpu8	tensorflow	grid	vanes2019	118584	120	real	default	3	574	565.54	3122941	u24-chi0000-401	2026-05-18T14:26:08+02:00
braincoder	gpu	tensorflow	grid	vanes2019	118584	120	real	default	1	222	207.35	3193567	u24-chaiam0-614	2026-05-19T12:59:24+02:00
braincoder	gpu	tensorflow	grid	vanes2019	118584	120	real	default	2	238	225.36	3193568	u24-chaiam0-614	2026-05-19T13:03:45+02:00
braincoder	gpu	tensorflow	grid	vanes2019	118584	120	real	default	3	183	170.36	3193569	u24-chaiam0-614	2026-05-19T13:04:21+02:00
braincoder	gpu	tensorflow	hrf	vanes2019	118584	120	real	default	1	3255	3240.22	3193570	u24-chaiam0-614	2026-05-19T13:58:08+02:00
braincoder	gpu	tensorflow	hrf	vanes2019	118584	120	real	default	2	3268	3255.09	3193571	u24-chaiam0-614	2026-05-19T13:58:53+02:00
braincoder	gpu	tensorflow	hrf	vanes2019	118584	120	real	default	3	1766	1746.3	3193572	u24-chaihm0-633	2026-05-19T14:47:23+02:00
popeye	cpu32	native	default	smallgrid	490	200	synthetic	default	0	11		3322839	u24-cva0000-205	2026-05-21T09:41:25+02:00
popeye	cpu32	native	default	smallgrid	490	200	synthetic	default	1	6235		3122885	u24-cva0000-311	2026-05-19T08:04:16+02:00
popeye	cpu32	native	default	smallgrid	490	200	synthetic	default	2	6152		3122886	u24-cva0000-207	2026-05-19T09:33:27+02:00
popeye	cpu32	native	default	smallgrid	490	200	synthetic	default	3	6231		3122887	u24-cva0000-311	2026-05-19T09:48:29+02:00
popeye	cpu32	native	parallel32	smallgrid	490	200	synthetic	default	0	233		3324805	u24-cva0000-312	2026-05-21T14:00:06+02:00
